"data-entry-id","data-entry-url","data-entry-votes","data-entry-comments","nsfw_indicator","timestamp"
"aAYQ2vZ","http://9gag.com/gag/aAYQ2vZ","6542","27","False","20140101235859"
"aKz1Z96","http://9gag.com/gag/aKz1Z96","6535","97","False","20140101235859"
"aBK6RGD","http://9gag.com/gag/aBK6RGD","8232","61","False","20140101235859"
"adNvbgj","http://9gag.com/gag/adNvbgj","7368","36","False","20140101235859"
"aBKZGND","http://9gag.com/gag/aBKZGND","7222","79","False","20140101235859"
"arpWrWd","http://9gag.com/gag/arpWrWd","7733","7","False","20140101235859"
"aozWd80","http://9gag.com/gag/aozWd80","7332","61","False","20140101235859"
"aG9Lqp7","http://9gag.com/gag/aG9Lqp7","8207","19","False","20140101235859"
"a8WAmRQ","http://9gag.com/gag/a8WAmRQ","8980","81","False","20140101235859"
"aKz1NAg","http://9gag.com/gag/aKz1NAg","9025","39","False","20140101235859"
"aZPnKn3","http://9gag.com/gag/aZPnKn3","7200","12","False","20140101113929"
"aOq2jx3","http://9gag.com/gag/aOq2jx3","6646","18","False","20140101113929"
"a6wDW38","http://9gag.com/gag/a6wDW38","6014","24","False","20140101113929"
"aAYQON2","http://9gag.com/gag/aAYQON2","7767","84","False","20140101113929"
"aNeL7zK","http://9gag.com/gag/aNeL7zK","6460","106","False","20140101113929"
"aBKZDN1","http://9gag.com/gag/aBKZDN1","6458","29","False","20140101113929"
"aZPn66p","http://9gag.com/gag/aZPn66p","6807","193","False","20140101113929"
"agy1r06","http://9gag.com/gag/agy1r06","7003","18","False","20140101113929"
"aEwMN0o","http://9gag.com/gag/aEwMN0o","8362","74","False","20140101113929"
"arpW0vV","http://9gag.com/gag/arpW0vV","8287","54","False","20140101113929"
"aLKL3w5","http://9gag.com/gag/aLKL3w5","6798","71","False","20140102015123"
"ay5qRQb","http://9gag.com/gag/ay5qRQb","6747","22","False","20140102015123"
"aVOgL4P","http://9gag.com/gag/aVOgL4P","6117","66","False","20140102015123"
"aLKLNRv","http://9gag.com/gag/aLKLNRv","7526","20","False","20140102015123"
"a5dVx0L","http://9gag.com/gag/a5dVx0L","6694","68","False","20140102015123"
"aM1dD16","http://9gag.com/gag/aM1dD16","13371","38","False","20140102015123"
"a9dzeyL","http://9gag.com/gag/a9dzeyL","8533","65","False","20140102015123"
"a3YGxXe","http://9gag.com/gag/a3YGxXe","10129","29","False","20140102015123"
"aeN4dB5","http://9gag.com/gag/aeN4dB5","7618","73","False","20140102015123"
"awrgd4x","http://9gag.com/gag/awrgd4x","7396","11","False","20140102015123"
"aVOg6j2","http://9gag.com/gag/aVOg6j2","6759","22","False","20140102162531"
"ab5eKNp","http://9gag.com/gag/ab5eKNp","8647","105","False","20140102162531"
"awrg8KW","http://9gag.com/gag/awrg8KW","8806","135","True","20140102162531"
"aQqgLOK","http://9gag.com/gag/aQqgLOK","7655","39","False","20140102162531"
"aD07qBZ","http://9gag.com/gag/aD07qBZ","10111","47","False","20140102162531"
"a9dzZ1W","http://9gag.com/gag/a9dzZ1W","10274","20","False","20140102162531"
"aWZpgrK","http://9gag.com/gag/aWZpgrK","8909","151","False","20140102162531"
"aKz1X8j","http://9gag.com/gag/aKz1X8j","8794","48","False","20140102162531"
"agyQ91q","http://9gag.com/gag/agyQ91q","7695","45","False","20140102162531"
"aG9L6Q6","http://9gag.com/gag/aG9L6Q6","10322","27","False","20140102162531"
"a758AAr","http://9gag.com/gag/a758AAr","6777","54","False","20140103023441"
"a9d6Leo","http://9gag.com/gag/a9d6Leo","7720","6","False","20140103023441"
"aXbLz49","http://9gag.com/gag/aXbLz49","9082","60","False","20140103023441"
"aLKzPPW","http://9gag.com/gag/aLKzPPW","7874","22","False","20140103023441"
"aM1Brbx","http://9gag.com/gag/aM1Brbx","6574","47","False","20140103023441"
"a4469gy","http://9gag.com/gag/a4469gy","8420","122","False","20140103023441"
"azbdEgz","http://9gag.com/gag/azbdEgz","7618","49","False","20140103023441"
"anYRKy0","http://9gag.com/gag/anYRKy0","9308","35","False","20140103023441"
"aKz1b5W","http://9gag.com/gag/aKz1b5W","9031","56","False","20140103023441"
"a75OKQe","http://9gag.com/gag/a75OKQe","7643","13","False","20140103023441"
"azb5yeN","http://9gag.com/gag/azb5yeN","6969","84","False","20140103233058"
"aM1BrYW","http://9gag.com/gag/aM1BrYW","7404","39","False","20140103233058"
"aKz1y3W","http://9gag.com/gag/aKz1y3W","6687","77","False","20140103233058"
"a6wDYz9","http://9gag.com/gag/a6wDYz9","8481","45","False","20140103233058"
"aNeL7Rr","http://9gag.com/gag/aNeL7Rr","6648","51","False","20140103233058"
"aQqgK2q","http://9gag.com/gag/aQqgK2q","7618","73","False","20140103233058"
"aM1dop6","http://9gag.com/gag/aM1dop6","8424","38","False","20140103233058"
"a2NMg19","http://9gag.com/gag/a2NMg19","7836","11","False","20140103233058"
"a8WAN0Q","http://9gag.com/gag/a8WAN0Q","8720","39","False","20140103233058"
"aRQLbAM","http://9gag.com/gag/aRQLbAM","8442","45","False","20140103233058"
"aAYQ2vZ","http://9gag.com/gag/aAYQ2vZ","6542","27","False","20140101235859"
"aKz1Z96","http://9gag.com/gag/aKz1Z96","6535","97","False","20140101235859"
"aBK6RGD","http://9gag.com/gag/aBK6RGD","8232","61","False","20140101235859"
"adNvbgj","http://9gag.com/gag/adNvbgj","7368","36","False","20140101235859"
"aBKZGND","http://9gag.com/gag/aBKZGND","7222","79","False","20140101235859"
"arpWrWd","http://9gag.com/gag/arpWrWd","7733","7","False","20140101235859"
"aozWd80","http://9gag.com/gag/aozWd80","7332","61","False","20140101235859"
"aG9Lqp7","http://9gag.com/gag/aG9Lqp7","8207","19","False","20140101235859"
"a8WAmRQ","http://9gag.com/gag/a8WAmRQ","8980","81","False","20140101235859"
"aKz1NAg","http://9gag.com/gag/aKz1NAg","9025","39","False","20140101235859"
"aZPnKn3","http://9gag.com/gag/aZPnKn3","7200","12","False","20140101113929"
"aOq2jx3","http://9gag.com/gag/aOq2jx3","6646","18","False","20140101113929"
"a6wDW38","http://9gag.com/gag/a6wDW38","6014","24","False","20140101113929"
"aAYQON2","http://9gag.com/gag/aAYQON2","7767","84","False","20140101113929"
"aNeL7zK","http://9gag.com/gag/aNeL7zK","6460","106","False","20140101113929"
"aBKZDN1","http://9gag.com/gag/aBKZDN1","6458","29","False","20140101113929"
"aZPn66p","http://9gag.com/gag/aZPn66p","6807","193","False","20140101113929"
"agy1r06","http://9gag.com/gag/agy1r06","7003","18","False","20140101113929"
"aEwMN0o","http://9gag.com/gag/aEwMN0o","8362","74","False","20140101113929"
"arpW0vV","http://9gag.com/gag/arpW0vV","8287","54","False","20140101113929"
"aLKL3w5","http://9gag.com/gag/aLKL3w5","6798","71","False","20140102015123"
"ay5qRQb","http://9gag.com/gag/ay5qRQb","6747","22","False","20140102015123"
"aVOgL4P","http://9gag.com/gag/aVOgL4P","6117","66","False","20140102015123"
"aLKLNRv","http://9gag.com/gag/aLKLNRv","7526","20","False","20140102015123"
"a5dVx0L","http://9gag.com/gag/a5dVx0L","6694","68","False","20140102015123"
"aM1dD16","http://9gag.com/gag/aM1dD16","13371","38","False","20140102015123"
"a9dzeyL","http://9gag.com/gag/a9dzeyL","8533","65","False","20140102015123"
"a3YGxXe","http://9gag.com/gag/a3YGxXe","10129","29","False","20140102015123"
"aeN4dB5","http://9gag.com/gag/aeN4dB5","7618","73","False","20140102015123"
"awrgd4x","http://9gag.com/gag/awrgd4x","7396","11","False","20140102015123"
"aVOg6j2","http://9gag.com/gag/aVOg6j2","6759","22","False","20140102162531"
"ab5eKNp","http://9gag.com/gag/ab5eKNp","8647","105","False","20140102162531"
"awrg8KW","http://9gag.com/gag/awrg8KW","8806","135","True","20140102162531"
"aQqgLOK","http://9gag.com/gag/aQqgLOK","7655","39","False","20140102162531"
"aD07qBZ","http://9gag.com/gag/aD07qBZ","10111","47","False","20140102162531"
"a9dzZ1W","http://9gag.com/gag/a9dzZ1W","10274","20","False","20140102162531"
"aWZpgrK","http://9gag.com/gag/aWZpgrK","8909","151","False","20140102162531"
"aKz1X8j","http://9gag.com/gag/aKz1X8j","8794","48","False","20140102162531"
"agyQ91q","http://9gag.com/gag/agyQ91q","7695","45","False","20140102162531"
"aG9L6Q6","http://9gag.com/gag/aG9L6Q6","10322","27","False","20140102162531"
